name,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos,UHR_1,UHR_2,UHR_3,HBR_1,HBR_2,HBR_3
ENST00000624862.3,3.7,0,7.3,48.219,5.6,2.02,2.76,5.7e-03,1.0e+00,0.0443,7,0,0,0,10.1,7.3,4.6
ENST00000400380.5,4.7,9.5,0,0.022,-5.5,1.99,-2.76,5.8e-03,1.0e+00,0.0443,7,5.5,6.8,16.2,0,0,0
ENST00000403662.7,13.6,23.7,3.4,0.144,-2.8,1.01,-2.76,5.8e-03,1.0e+00,0.0443,7,23.9,31.9,15.3,2.5,3.1,4.6
ENST00000498385.1,84.3,134.2,34.5,0.257,-2,0.71,-2.76,5.8e-03,1.0e+00,0.0443,7,126.5,145,131,23.9,44.1,35.4
ENST00000468686.5,17.6,29.9,5.4,0.179,-2.5,0.9,-2.76,5.8e-03,1.0e+00,0.0443,7,37.6,23.2,28.9,5,4.2,6.9
ENST00000216037.10,181.9,288,75.7,0.263,-1.9,0.7,-2.75,5.9e-03,1.0e+00,0.0443,7,211.4,348.1,304.6,81.9,88.1,57.2
ENST00000323630.9,15.2,0,30.4,199.833,7.6,2.78,2.75,6.0e-03,1.0e+00,0.0447,7,0,0,0,70.5,0,20.6
ENST00000402752.5,70,117.2,22.9,0.195,-2.4,0.86,-2.75,6.0e-03,1.0e+00,0.045,8,132.7,122.8,96.1,13.9,14.7,40
ENST00000439129.5,14.5,3.7,25.4,7.02,2.8,1.02,2.74,6.1e-03,1.0e+00,0.045,8,2.1,2.9,6,36.5,15.7,24
ENST00000610372.4,25,6.8,43.2,6.429,2.7,0.99,2.72,6.6e-03,1.0e+00,0.0486,8,4.8,8.7,6.8,46.6,67.1,16
ENST00000424407.1,3.5,0,6.9,45.474,5.5,2.03,2.71,6.7e-03,1.0e+00,0.0492,8,0,0,0,8.8,7.3,4.6
ENST00000397394.6,114.2,46.3,182.2,3.931,2,0.73,2.7,6.9e-03,1.0e+00,0.0499,9,47.9,28,63,183.9,187.7,174.9
ENST00000343632.8,33.7,11.8,55.5,4.677,2.2,0.82,2.7,6.9e-03,1.0e+00,0.0499,9,11.6,7.7,16.2,73,39.9,53.7
ENST00000473458.5,4.9,0,9.8,64.206,6,2.23,2.69,7.1e-03,1.0e+00,0.0509,9,0,0,0,22.7,2.1,4.6
ENST00000356998.7,18.5,33.6,3.4,0.102,-3.3,1.23,-2.68,7.4e-03,1.0e+00,0.053,9,43.1,28,29.8,5,5.2,0
ENST00000405198.5,17.1,34.1,0,0.006,-7.3,2.75,-2.67,7.5e-03,1.0e+00,0.0535,9,58.1,0,44.2,0,0,0
